product_id,productcount
5809910,8425
5802432,3402
5809912,3349
5700037,3049
5917178,2774
5854897,2700
5686925,2681
5877454,2554
5751383,2412
5751422,2362
5769877,2346
5815662,2317
5809911,2116
5849033,1989
5789668,1812
5792800,1692
5769925,1602
5528035,1572
5770029,1558
5649236,1548
5877456,1453
5561044,1444
5700046,1426
5816170,1418
5856186,1411
5896420,1375
5770055,1355
5850281,1348
5843836,1266
5304,1263
5790563,1204
5814046,1134
5560754,1112
5909810,1054
5826185,1030
5899845,1025
5615144,1021
5561064,1008
5804820,995
5886282,980
5816166,972
5836522,971
5567930,933
5677043,929
5877453,919
5773361,917
5885421,896
5783987,894
5770040,879
5776130,874
5846437,870
5597835,869
5013,853
5785144,836
5687151,832
5816172,811
5905704,803
5528034,801
5817702,800
5842141,798
5560994,796
5763238,762
5809871,738
5896418,735
5759279,714
5700035,704
5670733,703
5815731,698
5588152,698
5700039,692
5869134,692
5549786,690
5649219,689
5836843,688
5761411,688
5561032,686
5814066,684
5885845,680
5896421,679
5899852,676
5729864,672
5749720,671
5800788,666
5844894,666
5815730,666
5862943,664
5565088,663
5826000,661
5561082,661
5759492,654
5838935,652
5869135,642
5857007,641
5724230,639
5561028,633
5700047,630
5816169,623
5768981,623
5723529,622
5622677,622
5550110,622
5549838,613
5824810,610
5686079,607
5809908,602
5899929,602
5728072,602
5751742,602
5847334,600
5816178,599
5789670,599
5628025,598
5899926,593
5879279,587
6941,585
5857360,579
5649271,574
5833330,569
5773606,568
5828610,567
5770050,567
4497,560
5833334,553
5528051,552
5773605,552
5759491,549
5896428,549
5900651,548
4958,547
5814523,543
5651975,542
5715617,540
5802649,537
5750301,536
5759388,536
5838938,530
5585658,529
5793704,528
5862564,527
5752164,524
5585656,522
5687152,517
4600,516
5823667,505
89343,503
6730,503
4938,502
5730206,502
5550302,502
5807747,501
5854828,499
5567914,499
5869136,498
5549834,495
5809616,492
5899245,491
5754853,487
5822338,487
4591,486
5587740,485
5899831,484
5848387,482
5810083,482
5560970,482
5816173,480
5692888,479
5833318,475
5549788,475
5560976,475
6938,474
5784897,472
4185,472
5885416,471
5769914,469
5677456,468
5565086,467
5556134,467
5747146,466
5884033,466
5561066,466
5856191,465
5896178,463
5889300,462
5565094,462
5816175,461
5739493,461
5899851,461
5814042,457
5685798,456
5793261,455
5885848,454
38483,452
5649235,452
5695532,452
5697446,450
5712801,446
5715618,446
5802437,445
5742957,445
5806922,445
5869144,444
5848909,444
5804649,443
5868795,443
5550104,442
5463,442
5561050,442
5798929,441
5682470,439
5789669,438
5649270,436
5627738,436
5793703,435
5841190,434
5549842,433
5693501,432
5836488,431
5838932,431
5651977,431
5847870,431
5877452,431
5799891,430
5861591,430
5824196,424
19162,423
5804462,422
5789896,420
5850628,420
5726158,418
5772165,417
5567920,416
5608703,415
5844303,415
5557422,414
5831649,413
5877489,411
5747406,411
5739055,411
5866559,407
5549784,407
5855282,406
5764716,404
5891173,404
5849718,397
5888061,394
5561040,394
5651938,393
5747405,392
5692527,391
5674738,391
5784039,390
5875317,389
5854882,387
5835924,386
5561084,386
5810145,385
5763379,383
5869155,383
5722999,382
5906122,380
5808501,380
8098,378
5683737,378
5550700,378
5861278,376
5896186,376
5887756,375
5735268,375
5861279,373
5770012,373
5767495,373
5861760,372
5839314,372
5836842,371
5830317,369
5813466,369
5022,368
5833335,368
5683738,366
5855507,366
5560756,365
5526,364
5697545,361
5884577,361
5561062,360
5865800,358
5769912,357
5881424,357
5550118,357
5689471,355
5809921,355
5822298,354
5375,353
5854574,352
5760338,352
5567916,351
5550028,351
5565096,350
5819114,350
5550108,349
5896414,349
5754991,348
5560962,348
5855332,348
5877490,348
5869139,347
5561030,347
5618277,346
3762,346
5727536,346
5914455,343
5810480,343
5652774,343
37457,342
5755171,341
5568464,341
5550074,341
5561042,341
5649272,340
5561052,340
5896429,339
5626878,339
5622687,339
5677463,338
5726164,337
5695642,336
5766980,336
5567932,335
5900462,335
5802162,335
5686278,334
5868465,334
5810672,334
5549806,333
5822387,332
5817690,332
5683739,331
5849555,330
5879286,328
5896723,328
5687131,328
5896422,327
5759382,327
5836517,326
4841,325
5809729,324
5858967,324
5857677,324
5772167,323
5591314,323
5774248,322
5677462,322
5804023,321
5836489,321
4768,321
5808666,320
4607,318
5875511,317
5700036,316
39918,316
5810157,315
5760789,314
5813492,313
5854573,313
5808567,313
5780032,313
5815167,313
5884000,312
5795346,312
5561034,310
5888062,308
5875509,308
7652,308
5822283,306
5685678,305
5771964,304
5869151,304
5899863,304
5809865,304
59976,304
5688835,302
5550082,301
5822293,301
5854101,301
5736284,300
5723496,300
5899833,299
5885863,298
5774328,298
5870111,297
5372,297
5598854,296
5694897,296
5867181,296
5808333,296
5835859,296
5796819,296
5820745,295
5822295,295
5567922,295
5713054,294
5863095,294
5549798,294
5820774,293
4621,292
5745313,292
5565100,292
5565076,292
5809297,292
5570246,292
5817692,291
5395,291
5896174,291
5747147,290
5882788,290
5550030,290
5769875,289
5896177,289
5829345,288
5773607,288
5600453,288
5839048,287
5892179,286
5770041,286
5802165,286
5790689,285
5700075,285
5769926,285
5881775,284
5723225,283
5823778,283
5774340,283
5746011,282
5707019,281
5856183,280
5570244,280
5565092,280
5775987,279
5810673,279
5875320,279
5700038,279
5550122,278
5788435,278
5699797,277
5550686,277
5699414,277
5834492,275
5878923,275
5560758,274
5903874,274
5466,274
5857357,273
5896185,273
5764714,272
5840033,272
5532,271
5896423,271
5820773,271
5901858,271
5769908,271
5808547,270
5870961,270
5567968,270
5875513,270
5823935,269
5855117,269
5335,268
5806549,268
5857673,268
5683541,267
5652771,267
5683740,267
5787018,267
5700842,267
5691026,267
5899834,266
5762161,266
5745714,266
5702872,266
5622678,266
5726163,266
5669231,266
5833325,266
5854899,265
5665855,264
5677025,264
5565812,263
5802441,263
5688125,263
5857192,263
5827008,262
5854831,262
5854826,262
5704386,262
5869143,262
5820746,262
5840367,261
5837126,261
5856193,260
5861342,260
5861354,260
5802546,260
5809288,260
5807805,260
5565062,259
5835856,259
5809728,259
5820756,259
5854906,259
5587764,258
5815666,258
5677465,258
